Date,466940.KS,TDW,ADMA,TW,LEN,BMI,USLM,LW,FTLF,HMY,EVR,K.TO,IRMD,OPEN,SCHO,NICE,HCC,IGIC,PBR-A,AM,SM,ARIS.TO,ACGL,AMRZ,PL,CPRX,BRK-B,TIMB,3093.T,INVE,FIX,ITRN,494670.KS,Cash
2025-11-28,0.0,11525945.178222232,168177.91748547368,0.0,0.0,0.0,3016864.195536579,0.0,3434143.847128142,0.0,0.0,0.0,0.0,0.0,2864314.116757465,0.0,1484646.3328193817,0.0,0.0,0.0,0.0,0.0,0.0,1490728.3712785318,0.0,0.0,3003527.771905273,0.0,2384042.646805877,0.0,0.0,0.0,0.0,1341387.6220610514
2025-11-29,0.0,11525945.178222232,168177.91748547368,0.0,0.0,0.0,3016864.195536579,0.0,3434143.847128142,0.0,0.0,0.0,0.0,0.0,2864314.116757465,0.0,1484646.3328193817,0.0,0.0,0.0,0.0,0.0,0.0,1490728.3712785318,0.0,0.0,3003527.771905273,0.0,2384042.646805877,0.0,0.0,0.0,0.0,1390191.6220610514
2025-11-30,0.0,11525945.178222232,168177.91748547368,0.0,0.0,0.0,3016864.195536579,0.0,3434143.847128142,0.0,0.0,0.0,0.0,0.0,2864314.116757465,0.0,1484646.3328193817,0.0,0.0,0.0,0.0,0.0,0.0,1490728.3712785318,0.0,0.0,3003527.771905273,0.0,2384042.646805877,0.0,0.0,0.0,0.0,1438995.6220610514
2025-12-01,0.0,11741110.86472784,170422.28565224307,0.0,0.0,0.0,2927518.7230109023,0.0,3357266.4667712767,0.0,0.0,0.0,0.0,0.0,2871641.4463345734,0.0,1473528.6985216253,0.0,0.0,0.0,0.0,0.0,0.0,1510415.8240298368,0.0,0.0,2981364.1225039065,0.0,2794389.658339329,0.0,0.0,0.0,0.0,1452946.9101084657
2025-12-02,0.0,11728193.184362289,169804.6400756836,0.0,0.0,0.0,2922876.7375409706,0.0,3275068.4600272905,0.0,0.0,0.0,0.0,0.0,2881739.5520936823,0.0,1488023.5044186274,0.0,0.0,0.0,0.0,0.0,0.0,1497054.1051210742,0.0,0.0,2979446.575166747,0.0,2774794.1214240417,0.0,0.0,0.0,0.0,1518072.1197695956
2025-12-03,0.0,12800514.832214355,173618.02742146002,0.0,0.0,0.0,2966874.781575976,0.0,3268808.5485911127,0.0,0.0,0.0,0.0,0.0,2876231.442996602,0.0,1578859.752868848,0.0,0.0,0.0,0.0,0.0,0.0,1529062.9474064894,0.0,0.0,2955849.990316406,0.0,2751328.59788677,0.0,0.0,0.0,0.0,1554687.0787219815
2025-12-04,0.0,12726715.864501953,176770.52870006114,0.0,0.0,0.0,2993758.3843926247,0.0,3276539.660522461,0.0,0.0,0.0,0.0,0.0,2870485.505294485,0.0,1570459.6246015336,0.0,0.0,0.0,0.0,0.0,0.0,1530116.5188873187,0.0,0.0,2948988.310953468,0.0,2803004.596309296,0.0,0.0,0.0,0.0,1622386.0058367923
2025-12-05,0.0,12388576.143093929,175360.46195155336,0.0,0.0,0.0,3036530.4139232626,0.0,3202073.181881076,0.0,0.0,0.0,0.0,0.0,2884886.574188498,0.0,1559232.6427494222,0.0,0.0,0.0,0.0,0.0,0.0,1596109.149911357,0.0,0.0,2970320.505082324,0.0,2783113.7693944518,0.0,0.0,0.0,0.0,1696133.1578241289
2025-12-06,0.0,12388576.143093929,175360.46195155336,0.0,0.0,0.0,3036530.4139232626,0.0,3202073.181881076,0.0,0.0,0.0,0.0,0.0,2884886.574188498,0.0,1559232.6427494222,0.0,0.0,0.0,0.0,0.0,0.0,1596109.149911357,0.0,0.0,2970320.505082324,0.0,2783113.7693944518,0.0,0.0,0.0,0.0,1761904.1578241289
2025-12-07,0.0,12388576.143093929,175360.46195155336,0.0,0.0,0.0,3036530.4139232626,0.0,3202073.181881076,0.0,0.0,0.0,0.0,0.0,2884886.574188498,0.0,1559232.6427494222,0.0,0.0,0.0,0.0,0.0,0.0,1596109.149911357,0.0,0.0,2970320.505082324,0.0,2783113.7693944518,0.0,0.0,0.0,0.0,1827674.1578241289
2025-12-08,0.0,12259147.357101236,171230.37682686746,0.0,0.0,0.0,3017360.437696852,0.0,3074728.9430584665,0.0,0.0,0.0,0.0,0.0,2881401.382781705,0.0,1509545.8302832618,0.0,0.0,0.0,0.0,0.0,0.0,1554394.444781728,0.0,0.0,2927312.526417434,0.0,2904795.223274857,0.0,0.0,0.0,0.0,1887614.4777775928
2025-12-09,0.0,12476078.935929237,174458.9824378509,0.0,0.0,0.0,3033287.0396738388,0.0,3016025.7168882284,0.0,0.0,0.0,0.0,0.0,2874940.790125006,0.0,1540080.2772216257,0.0,0.0,0.0,0.0,0.0,0.0,1556143.7748259306,0.0,0.0,2886679.45337373,0.0,2905366.4423540393,0.0,0.0,0.0,0.0,1946381.5871705115
2025-12-10,0.0,12250404.72033481,175975.45080707688,0.0,0.0,0.0,3166195.1342152907,0.0,3170200.3483061604,0.0,0.0,0.0,0.0,0.0,2878530.0875268,0.0,1529376.6771035763,0.0,0.0,0.0,0.0,0.0,0.0,1585180.4515778925,683820.5140458564,0.0,2879667.701960057,0.0,2938143.1318576843,0.0,0.0,0.0,0.0,3316859.782264799
2025-12-11,0.0,12388355.5278152,179634.2085793577,0.0,0.0,0.0,3249662.4706667215,0.0,3305869.055280179,0.0,0.0,0.0,0.0,0.0,2881888.601741925,0.0,1603542.6179362312,0.0,0.0,0.0,0.0,0.0,0.0,1638744.5817769319,923908.6250536367,0.0,2913694.049341798,0.0,2929119.741923404,0.0,0.0,0.0,0.0,3374375.519884616
2025-12-12,0.0,11965541.315527461,174560.48116225423,0.0,0.0,0.0,3267403.110555237,0.0,2510961.4398760432,0.0,0.0,0.0,0.0,0.0,2885439.243860638,0.0,1591967.286946454,0.0,0.0,0.0,0.0,0.0,0.0,1638724.509290848,0.0,0.0,2938875.854581788,0.0,2936922.8482625354,0.0,0.0,0.0,0.0,3450755.909936741
2025-12-13,0.0,11965541.315527461,174560.48116225423,0.0,0.0,0.0,3267403.110555237,0.0,2510961.4398760432,0.0,0.0,0.0,0.0,0.0,2885439.243860638,0.0,1591967.286946454,0.0,0.0,0.0,0.0,0.0,0.0,1638724.509290848,0.0,0.0,2938875.854581788,0.0,2936922.8482625354,0.0,0.0,0.0,0.0,3516526.909936741
